epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1953,0.95525,2.21306,1.09187,0.49664,0.44519,0.28327,0.18132,1.37152,2.56063,1.01955,0.000542114,0.000542114,0.000542114
2,61.2747,0.92082,1.54011,1.07642,0.11726,0.23492,0.08965,0.03932,1.58053,3.26363,1.43711,0.00106155,0.00106155,0.00106155
3,88.6092,0.86957,1.47968,1.06578,0.54512,0.17568,0.07579,0.03505,1.63083,4.17318,1.54265,0.00154432,0.00154432,0.00154432
4,115.761,0.86511,1.38234,1.05061,0.056,0.23588,0.039,0.0183,2.0514,4.41808,1.55032,0.00150197,0.00150197,0.00150197
5,142.486,0.82409,1.29715,1.04441,0.29383,0.12549,0.07549,0.0378,1.84426,3.53982,1.68725,0.00144696,0.00144696,0.00144696
6,169.699,0.76321,1.2603,1.02808,0.32793,0.16617,0.1066,0.0658,1.59576,3.54322,1.5105,0.00139195,0.00139195,0.00139195
7,196.259,0.7731,1.16037,1.04677,0.2688,0.19224,0.11645,0.06576,1.61246,3.44289,1.43628,0.00133693,0.00133693,0.00133693
8,224.069,0.73096,1.09947,1.01382,0.0298,0.2033,0.02392,0.0119,2.10808,4.89337,1.70613,0.00128192,0.00128192,0.00128192
9,252.287,0.68496,1.03841,0.99273,0.60024,0.04955,0.03357,0.01442,1.87407,4.71851,1.56876,0.00122691,0.00122691,0.00122691
10,283.233,0.68948,1.01699,1.00535,0.77896,0.06192,0.10558,0.05092,1.50994,3.61877,1.37449,0.0011719,0.0011719,0.0011719
11,313.569,0.64721,0.98997,1.00145,0.72567,0.08232,0.1123,0.07666,1.44697,3.79269,1.39519,0.00111689,0.00111689,0.00111689
12,345.888,0.6409,0.95954,0.98595,0.59916,0.1796,0.16972,0.12235,1.68929,3.52616,1.45948,0.00106188,0.00106188,0.00106188
13,375.297,0.65241,0.95745,0.9894,0.42146,0.22805,0.21623,0.12815,1.83243,2.98353,1.48374,0.00100687,0.00100687,0.00100687
14,413.821,0.59619,0.88996,0.97591,0.39509,0.17868,0.14316,0.09738,1.29086,2.79106,1.31067,0.000951857,0.000951857,0.000951857
15,444.097,0.62473,0.85914,0.9895,0.07043,0.23478,0.05942,0.04036,1.65187,4.12621,1.53642,0.000896846,0.000896846,0.000896846
16,473.735,0.56559,0.77765,0.96832,0.20219,0.24635,0.08415,0.03853,1.77687,3.80429,1.68948,0.000841835,0.000841835,0.000841835
17,503.261,0.61259,0.79525,0.98209,0.2292,0.16153,0.125,0.07626,1.58714,3.50124,1.48676,0.000786824,0.000786824,0.000786824
18,532.647,0.54199,0.81407,0.95496,0.27035,0.17213,0.13752,0.08832,1.78914,3.73597,1.53798,0.000731813,0.000731813,0.000731813
19,562.384,0.57092,0.75974,0.97657,0.33107,0.13942,0.13722,0.0983,2.05724,3.64428,1.65934,0.000676802,0.000676802,0.000676802
20,591.83,0.54656,0.79569,0.96687,0.28933,0.30705,0.21656,0.14606,1.89378,3.28826,1.4872,0.000621791,0.000621791,0.000621791
21,622.318,0.42404,0.67759,0.88236,0.5318,0.25502,0.22254,0.14846,1.7315,2.8038,1.42887,0.00056678,0.00056678,0.00056678
22,651.075,0.41724,0.58777,0.89038,0.30682,0.19562,0.16405,0.11348,1.45923,2.6239,1.29757,0.000511769,0.000511769,0.000511769
23,675.613,0.38948,0.56213,0.86748,0.30649,0.26978,0.18841,0.13226,1.35393,2.70381,1.30891,0.000456758,0.000456758,0.000456758
24,695.01,0.38097,0.58561,0.88265,0.55229,0.21968,0.17511,0.11756,1.56693,2.91595,1.37118,0.000401747,0.000401747,0.000401747
25,718.893,0.3712,0.52992,0.86232,0.78626,0.23821,0.25283,0.1739,1.36467,2.78437,1.27544,0.000346736,0.000346736,0.000346736
26,741.986,0.37046,0.5393,0.8681,0.36535,0.22514,0.18258,0.12641,1.44821,2.8251,1.33153,0.000291725,0.000291725,0.000291725
27,760.796,0.34964,0.58392,0.85614,0.49252,0.15744,0.15756,0.11228,1.41566,2.9185,1.32616,0.000236714,0.000236714,0.000236714
28,788.989,0.34251,0.49402,0.86769,0.51201,0.15584,0.16761,0.11816,1.35496,2.94622,1.32737,0.000181703,0.000181703,0.000181703
29,817.081,0.34115,0.48905,0.8654,0.5424,0.22096,0.19851,0.14703,1.29891,2.8126,1.26921,0.000126692,0.000126692,0.000126692
30,845.456,0.32612,0.48943,0.85395,0.66414,0.2564,0.2145,0.15445,1.36185,2.79203,1.2935,7.1681e-05,7.1681e-05,7.1681e-05
